City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Emerald,AU,2021-12-27 23:41:18,-23.5333,148.1667,80.74,65,75,8.05
114,Altay,CN,2021-12-27 23:41:19,47.8667,88.1167,10.94,70,84,2.62
115,Chabahar,IR,2021-12-27 23:41:19,25.2919,60.643,70.14,70,46,7.09
116,Asyut,EG,2021-12-27 23:41:20,27.181,31.1837,50.18,55,86,8.48
117,Mar Del Plata,AR,2021-12-27 23:38:53,-38.0023,-57.5575,69.82,87,0,21.0
118,Mahebourg,MU,2021-12-27 23:41:20,-20.4081,57.7,77.29,83,40,3.44
119,Hobart,AU,2021-12-27 23:41:21,-42.8794,147.3294,75.02,54,40,1.99
120,Acarau,BR,2021-12-27 23:41:21,-2.8856,-40.12,80.46,80,68,12.86
121,Komsomolskiy,UZ,2021-12-27 23:41:22,40.4272,71.7189,34.52,80,75,2.3
122,Harper,LR,2021-12-27 23:41:22,4.375,-7.7169,80.08,81,46,6.15
123,Krasnoselkup,RU,2021-12-27 23:41:23,65.7,82.4667,0.77,91,39,20.56
124,Kailua,US,2021-12-27 23:41:23,21.4022,-157.7394,80.58,70,75,10.36
125,Margarita,PA,2021-12-27 23:41:24,9.3314,-79.8889,83.97,74,64,11.99
126,Cabo San Lucas,MX,2021-12-27 23:41:24,22.8909,-109.9124,82.51,73,12,9.26
127,Coahuayana,MX,2021-12-27 23:41:25,18.7333,-103.6833,79.16,68,0,4.88
128,Svetlogorsk,BY,2021-12-27 23:41:25,52.6333,29.7333,12.99,97,67,3.91
129,Pangody,RU,2021-12-27 23:41:26,65.85,74.4859,6.51,94,100,17.22
130,Bang Saphan,TH,2021-12-27 23:41:26,11.2126,99.5117,71.55,83,5,5.39
131,Sandviken,SE,2021-12-27 23:41:27,60.6167,16.7667,24.44,88,100,5.23
132,Pisco,PE,2021-12-27 23:41:27,-13.7,-76.2167,71.65,78,40,18.41
133,Bud,US,2021-12-27 23:41:28,39.447,-86.1758,58.42,84,100,10.58
134,Kiunga,PG,2021-12-27 23:41:28,-6.1219,141.2906,82.87,79,100,0.65
135,Niltepec,MX,2021-12-27 23:41:29,16.5667,-94.6167,74.73,60,0,3.96
136,Upernavik,GL,2021-12-27 23:41:29,72.7868,-56.1549,-4.63,74,95,6.62
137,Dingle,PH,2021-12-27 23:41:30,10.9995,122.6711,76.12,89,95,13.67
138,Vestmanna,FO,2021-12-27 23:41:30,62.1564,-7.1664,40.12,100,90,0.0
